epoch,decision,prev_policy,new_policy,cap_used,r_step,reason_code,reason,anchor_prelogic,sma_burns,g_growth,r2,r3,x2,x3,node_multiplier,phi_mm,f2_effective,f3_effective,metrics_summary,f2_dynamic,f3_dynamic
1,hold,47435.0,47435.0,0.0,0.0,not_rebalance_epoch,"not_rebalance_epoch | metrics: sma=nan, g=nan, r2=nan, r3=nan, x2=0.0000, x3=0.0000, node_mult=nan, phi_mm=nan, f2=nan, f3=nan",,,,,,0.0,0.0,,,,,"sma=nan, g=nan, r2=nan, r3=nan, x2=0.0000, x3=0.0000, node_mult=nan, phi_mm=nan, f2=nan, f3=nan",,
2,hold,47435.0,47435.0,0.0,0.0,not_rebalance_epoch,"not_rebalance_epoch | metrics: sma=nan, g=nan, r2=nan, r3=nan, x2=0.0000, x3=0.0000, node_mult=nan, phi_mm=nan, f2=nan, f3=nan",,,,,,0.0,0.0,,,,,"sma=nan, g=nan, r2=nan, r3=nan, x2=0.0000, x3=0.0000, node_mult=nan, phi_mm=nan, f2=nan, f3=nan",,
3,hold,47435.0,47435.0,0.0,0.0,not_rebalance_epoch,"not_rebalance_epoch | metrics: sma=nan, g=nan, r2=nan, r3=nan, x2=0.0000, x3=0.0000, node_mult=nan, phi_mm=nan, f2=nan, f3=nan",,,,,,0.0,0.0,,,,,"sma=nan, g=nan, r2=nan, r3=nan, x2=0.0000, x3=0.0000, node_mult=nan, phi_mm=nan, f2=nan, f3=nan",,
4,hold,47435.0,47435.0,0.0,0.0,not_rebalance_epoch,"not_rebalance_epoch | metrics: sma=nan, g=nan, r2=nan, r3=nan, x2=0.0000, x3=0.0000, node_mult=nan, phi_mm=nan, f2=nan, f3=nan",,,,,,0.0,0.0,,,,,"sma=nan, g=nan, r2=nan, r3=nan, x2=0.0000, x3=0.0000, node_mult=nan, phi_mm=nan, f2=nan, f3=nan",,
5,hold,47435.0,47435.0,0.0,0.0,not_rebalance_epoch,"not_rebalance_epoch | metrics: sma=nan, g=nan, r2=nan, r3=nan, x2=0.0000, x3=0.0000, node_mult=nan, phi_mm=nan, f2=nan, f3=nan",,,,,,0.0,0.0,,,,,"sma=nan, g=nan, r2=nan, r3=nan, x2=0.0000, x3=0.0000, node_mult=nan, phi_mm=nan, f2=nan, f3=nan",,
6,hold,47435.0,47435.0,0.0,0.0,not_rebalance_epoch,"not_rebalance_epoch | metrics: sma=nan, g=nan, r2=nan, r3=nan, x2=0.0000, x3=0.0000, node_mult=nan, phi_mm=nan, f2=nan, f3=nan",,,,,,0.0,0.0,,,,,"sma=nan, g=nan, r2=nan, r3=nan, x2=0.0000, x3=0.0000, node_mult=nan, phi_mm=nan, f2=nan, f3=nan",,
7,hold,47435.0,47435.0,0.0,0.0,not_rebalance_epoch,"not_rebalance_epoch | metrics: sma=nan, g=nan, r2=nan, r3=nan, x2=0.0000, x3=0.0000, node_mult=nan, phi_mm=nan, f2=nan, f3=nan",,,,,,0.0,0.0,,,,,"sma=nan, g=nan, r2=nan, r3=nan, x2=0.0000, x3=0.0000, node_mult=nan, phi_mm=nan, f2=nan, f3=nan",,
8,hold,47435.0,47435.0,0.0,0.0,not_rebalance_epoch,"not_rebalance_epoch | metrics: sma=nan, g=nan, r2=nan, r3=nan, x2=0.0000, x3=0.0000, node_mult=nan, phi_mm=nan, f2=nan, f3=nan",,,,,,0.0,0.0,,,,,"sma=nan, g=nan, r2=nan, r3=nan, x2=0.0000, x3=0.0000, node_mult=nan, phi_mm=nan, f2=nan, f3=nan",,
9,hold,47435.0,47435.0,0.0,0.0,not_rebalance_epoch,"not_rebalance_epoch | metrics: sma=nan, g=nan, r2=nan, r3=nan, x2=0.0000, x3=0.0000, node_mult=nan, phi_mm=nan, f2=nan, f3=nan",,,,,,0.0,0.0,,,,,"sma=nan, g=nan, r2=nan, r3=nan, x2=0.0000, x3=0.0000, node_mult=nan, phi_mm=nan, f2=nan, f3=nan",,
10,hold,47435.0,47435.0,0.0,0.0,not_rebalance_epoch,"not_rebalance_epoch | metrics: sma=nan, g=nan, r2=nan, r3=nan, x2=0.0000, x3=0.0000, node_mult=nan, phi_mm=nan, f2=nan, f3=nan",,,,,,0.0,0.0,,,,,"sma=nan, g=nan, r2=nan, r3=nan, x2=0.0000, x3=0.0000, node_mult=nan, phi_mm=nan, f2=nan, f3=nan",,
11,hold,47435.0,47435.0,0.0,0.0,not_rebalance_epoch,"not_rebalance_epoch | metrics: sma=nan, g=nan, r2=nan, r3=nan, x2=0.0000, x3=0.0000, node_mult=nan, phi_mm=nan, f2=nan, f3=nan",,,,,,0.0,0.0,,,,,"sma=nan, g=nan, r2=nan, r3=nan, x2=0.0000, x3=0.0000, node_mult=nan, phi_mm=nan, f2=nan, f3=nan",,
12,change,47435.0,43100.0,0.1,-0.1,capped_to_limit,"capped_to_limit | metrics: sma=3451.8243, g=nan, r2=nan, r3=nan, x2=0.0000, x3=0.0000, node_mult=1.0000, phi_mm=1.0000, f2=0.6667, f3=0.3333",3451.824346831667,3451.824346831667,,,,0.0,0.0,1.0,1.0,0.6666666666666666,0.3333333333333333,"sma=3451.8243, g=nan, r2=nan, r3=nan, x2=0.0000, x3=0.0000, node_mult=1.0000, phi_mm=1.0000, f2=0.6667, f3=0.3333",,
13,hold,43100.0,43100.0,0.0,0.0,not_rebalance_epoch,"not_rebalance_epoch | metrics: sma=2497.9697, g=nan, r2=nan, r3=nan, x2=0.0000, x3=0.0000, node_mult=1.0000, phi_mm=1.0000, f2=nan, f3=nan",2497.9697373491667,2497.9697373491667,,,,0.0,0.0,1.0,1.0,,,"sma=2497.9697, g=nan, r2=nan, r3=nan, x2=0.0000, x3=0.0000, node_mult=1.0000, phi_mm=1.0000, f2=nan, f3=nan",,
14,hold,43100.0,43100.0,0.0,0.0,not_rebalance_epoch,"not_rebalance_epoch | metrics: sma=2425.4869, g=nan, r2=nan, r3=nan, x2=0.0000, x3=0.0000, node_mult=1.0000, phi_mm=1.0000, f2=nan, f3=nan",2425.4868513725,2425.4868513725,,,,0.0,0.0,1.0,1.0,,,"sma=2425.4869, g=nan, r2=nan, r3=nan, x2=0.0000, x3=0.0000, node_mult=1.0000, phi_mm=1.0000, f2=nan, f3=nan",,
15,hold,43100.0,43100.0,0.0,0.0,not_rebalance_epoch,"not_rebalance_epoch | metrics: sma=2168.9294, g=nan, r2=nan, r3=nan, x2=0.0000, x3=0.0000, node_mult=1.0000, phi_mm=1.0000, f2=nan, f3=nan",2168.9293844525,2168.9293844525,,,,0.0,0.0,1.0,1.0,,,"sma=2168.9294, g=nan, r2=nan, r3=nan, x2=0.0000, x3=0.0000, node_mult=1.0000, phi_mm=1.0000, f2=nan, f3=nan",,
16,hold,43100.0,43100.0,0.0,0.0,not_rebalance_epoch,"not_rebalance_epoch | metrics: sma=2302.9931, g=nan, r2=nan, r3=nan, x2=0.0000, x3=0.0000, node_mult=1.0000, phi_mm=1.0000, f2=nan, f3=nan",2302.9931327491668,2302.9931327491668,,,,0.0,0.0,1.0,1.0,,,"sma=2302.9931, g=nan, r2=nan, r3=nan, x2=0.0000, x3=0.0000, node_mult=1.0000, phi_mm=1.0000, f2=nan, f3=nan",,
17,hold,43100.0,43100.0,0.0,0.0,not_rebalance_epoch,"not_rebalance_epoch | metrics: sma=2168.6647, g=nan, r2=nan, r3=nan, x2=0.0000, x3=0.0000, node_mult=1.0000, phi_mm=1.0000, f2=nan, f3=nan",2168.6646998541664,2168.6646998541664,,,,0.0,0.0,1.0,1.0,,,"sma=2168.6647, g=nan, r2=nan, r3=nan, x2=0.0000, x3=0.0000, node_mult=1.0000, phi_mm=1.0000, f2=nan, f3=nan",,
